Тема,Заголовок,Застройщик,Приоритет застройщика,Приоритет от стейкхолдеров,Дата создания,Модуль,Состояние пожелания,ID задачи
Права: Доступ к объектам,Скрытие цен объектов,Не указан,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,26 дек. 2025 12:07,Карточка объекта (building),Рассматривает разработка,HELPDESK-6439
Права: Доступ к реестрам,Разделить доступ к функционалу корпоративных продаж: создание ЗнД отдельно от просмотра реестра,Аквилон,C,Нет: приоритет от стейкхолдера,8 мая 2024 10:26,Корп. продажи (corpsales),Зафиксировано,HELPDESK-1711
Права: Общие,"Добавить право для создание, редактирования и удаления пользователей с типом агент",Элемент,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,10 июн. 2024 12:39,Права (access),Зафиксировано,HELPDESK-1968
Права: Общие,Всем ли доступна кнопка создания ЛК клиенту,Аквилон,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,13 янв. 2025 11:59,Личный кабинет (personal),Рассматривает аккаунт,HELPDESK-4023
Права: Общие,"Добавить в список прав метку ""Нерекомендуется для АН",Аквилон,C,Нет: приоритет от стейкхолдера,21 дек. 2023 12:26,Права (access),Зафиксировано,HELPDESK-332
Права: Общие,Не скрывать переключатель утверждения плана продаж при масштабировании экрана,Эволюция,C,Нет: приоритет от стейкхолдера,3 мая 2024 14:01,План продаж (plan),Зафиксировано,HELPDESK-1687
Права: Общие,Новые функции для назначения прав доступа,ALLIO Dev,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,30 дек. 2025 12:12,Права (access),Требует уточнения,HELPDESK-6463
Права: Общие,Класс пользователя — Интегратор,ALLIO Dev,B,B,30 дек. 2025 12:29,Права (access),Требует уточнения,HELPDESK-6469
Права: Пожелания застройщика,Скрыть пожелания застройщика под отдельное право,Аквилон,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,21 нояб. 2025 17:48,Права (access),Рассматривает разработка,HELPDESK-6207
Права: Пожелания застройщика,"Скрыть под правом доступ к просмотру ""Пожелания застройщика",Не указан,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,9 дек. 2025 15:31,Права (access),Рассматривает разработка,HELPDESK-6320
Прочее,В эксель некорректно выгружается номер эскроу счета,Аквилон,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,1 дек. 2025 15:22,Таблицы (table),Рассматривает разработка,HELPDESK-6256
Прочее,Проверка статусов пожеланий 3,ALLIO Dev,Нет: приоритет застройщика,,10 дек. 2024 13:23,—,В разработке,HT-395
Прочее,Пожелание-2,ALLIO Dev,Нет: приоритет застройщика,,11 июн. 2025 17:37,—,Открыта,HT-679
Прочее,Пожелание-3,ALLIO Dev,Нет: приоритет застройщика,,11 июн. 2025 17:37,—,Открыта,HT-680
Прочее,Пожелание-4,ALLIO Dev,Нет: приоритет застройщика,,11 июн. 2025 17:38,—,Открыта,HT-681
Прочее,Настраиваемые поля в сущностях Allio,Атлас,B,Нет: приоритет от стейкхолдера,13 авг. 2025 12:08,Меню (menu),Зафиксировано,HELPDESK-5619
Прочее,Сделать Отчество необязательным полем в настройках пользователя,Элемент,C,Нет: приоритет от стейкхолдера,14 окт. 2024 14:59,Пользователи (user),Зафиксировано,HELPDESK-3331
Прочее,Фиксировать в истории изменения цены выбор стоимости в буферном реестре,Ромашки,B,Нет: приоритет от стейкхолдера,15 мар. 2024 11:31,Буферный реестр (revokeapprove),Зафиксировано,HELPDESK-1253
Прочее,"Детализировать изменения в карточке помещения в разделе ""История изменений",Атлас,C,Нет: приоритет от стейкхолдера,15 окт. 2025 08:06,Карточка помещения (space),Зафиксировано,HELPDESK-5954
Прочее,Добавить возможность выбора нескольких офисов продаж за менеджером,Компакт,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,18 дек. 2025 14:02,Профиль (profile),Рассматривает разработка,HELPDESK-6393
Прочее,"Передавать в фиде для сайта ""Ссылки на план",УДС,A,Нет: приоритет от стейкхолдера,19 дек. 2023 10:01,Фиды (feeds),Ожидает ответ клиента,HELPDESK-304
Прочее,Заменить карты Гугл в Аллио,Эффект Девелопмент,A,Нет: приоритет от стейкхолдера,19 июн. 2025 18:04,Карточка объекта (building),Зафиксировано,HELPDESK-5206
Прочее,Тест воркфлоу на автозакрытие-3,ALLIO Dev,Нет: приоритет застройщика,,19 июн. 2025 19:02,—,Включили в эпик ДК,HT-685
Прочее,Добавить возможность указывать номер телефона для каждого города в фиде,Аквилон,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,2 мая 2024 13:02,Фиды (feeds),Зафиксировано,HELPDESK-1679
Прочее,Добавить настройку порядка изображений внутри фида в агрегаторы,Аквилон,A,A,20 февр. 2024 12:56,Фиды (feeds),Зафиксировано,HELPDESK-1033
Прочее,Могу ли я сформировать фид без старта продаж,Оникс,A,Нет: приоритет от стейкхолдера,22 сент. 2025 12:39,Фиды (feeds),Зафиксировано,HELPDESK-5829
Прочее,Рассмотреть возможность получения от клиента персональных данных и скан-копий документов,Бауинвест,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,24 дек. 2025 13:09,Файловый менеджер (filemanager),На паузе,HELPDESK-6417
Прочее,Можно ли сделать чтобы другой сотрудник мог видеть мои обращения,Амград,B,Нет: приоритет от стейкхолдера,24 июл. 2025 17:22,Ассистент (issues),Зафиксировано,HELPDESK-5464
Прочее,Добавить конфигуратор создания условий рассрочки,Ханса,Нет: приоритет застройщика,A,24 нояб. 2025 16:09,Карточка объекта (building),Зафиксировано,HELPDESK-6216
Прочее,Добавить название фида при его редактировании,УДС,C,Нет: приоритет от стейкхолдера,24 окт. 2025 12:45,Фиды (feeds),В очереди на разработку,HELPDESK-6019
Прочее,Добавить возможность считать стоимость отделки от жилой площади помещения,Оникс,A,Нет: приоритет от стейкхолдера,24 сент. 2025 07:12,Справочники (dictionary),Зафиксировано,HELPDESK-5848
Прочее,Изменить иконку для обозначения спальни в карточке помещения,Аквилон,C,Нет: приоритет от стейкхолдера,26 мар. 2024 12:49,Карточка помещения (space),Не делаем,HELPDESK-1360
Прочее,"Добавить в ""Портрет покупателя"" возможность создавать несколько диаграмм вместо одной",Аквилон,B,Нет: приоритет от стейкхолдера,26 янв. 2024 16:54,Таблицы (table),Зафиксировано,HELPDESK-682
Прочее,Есть ли возможность формировать YML-фид,Атлас,B,Нет: приоритет от стейкхолдера,29 июл. 2025 12:57,Фиды (feeds),Зафиксировано,HELPDESK-5491
Прочее,Возможность выбора подписанта со стороны застройщика,ЛенРусСтрой,B,Нет: приоритет от стейкхолдера,29 июл. 2025 14:32,—,Зафиксировано,HELPDESK-5494
Прочее,Уменьшить кол-во вариаций шаблонов для генерации документов,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,29 июл. 2025 14:41,—,Зафиксировано,HELPDESK-5495
Прочее,Как нам можно поменять названия каждого объекта,Элемент,A,Нет: приоритет от стейкхолдера,3 окт. 2024 16:16,Справочники (dictionary),Зафиксировано,HELPDESK-3238
Прочее,Персонализация кабинета Аллио,ALLIO Dev,A,A,30 дек. 2025 15:40,Меню (menu),Требует уточнения,HELPDESK-6473
Прочее,Обновить справку по содержанию полей в фиде для сайта,Амград,B,Нет: приоритет от стейкхолдера,30 июл. 2025 15:15,Центр поддержки (support),В очереди на разработку,HELPDESK-5516
Прочее,Отображать в системе обращения всех пользователей,Амград,B,Нет: приоритет от стейкхолдера,30 окт. 2025 18:07,Ассистент (issues),Зафиксировано,HELPDESK-6052
Прочее,Сохранять фильтрацию по статусам при переходе на другой ЖК,Аквилон,B,Нет: приоритет от стейкхолдера,4 июн. 2025 09:26,Карточка объекта (building),Рассматривает аккаунт,HELPDESK-5104
Прочее,Добавить влияние фильтра Объект на фильтр Характеристики в подборе по параметрам,Элемент,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,5 дек. 2023 11:02,Подбор по параметрам (buildingssearch),В очереди на разработку,HELPDESK-116
Прочее,"Добавить тип дома ""Монолит-каркас",ЮСИ,C,Нет: приоритет от стейкхолдера,5 февр. 2024 11:42,Карточка объекта (building),Зафиксировано,HELPDESK-769
Прочее,"Передавать в фидах первым изображением фото ЖК, а не основную планировку",Оникс,B,Нет: приоритет от стейкхолдера,6 мая 2024 14:42,Фиды (feeds),Зафиксировано,HELPDESK-1701
Прочее,Учитывать дату фактического ввода в эксплуатацию при определении статуса объекта,Аквилон,A,Нет: приоритет от стейкхолдера,7 мар. 2024 13:51,Карточка объекта (building),Зафиксировано,HELPDESK-1212
Прочее,Передавать в теге price текстовое значение,Верен,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,8 дек. 2025 15:58,Фиды (feeds),Рассматривает разработка,HELPDESK-6314
Прочее,Добавить Характеристики помещений из справочника в первичное ценообразование,Острова,B,Нет: приоритет от стейкхолдера,9 июл. 2024 17:01,ПЦО (pricetags),Не делаем,HELPDESK-2329
Уведомления: Telegram,Уведомления в ТГ,_не клиент_,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,28 мая 2024 13:38,Уведомления (events),Зафиксировано,HELPDESK-1867
Уведомления: Telegram,Добавить возможность сделать все полученные уведомления в Ассистенте прочитанными,Аквилон,C,Нет: приоритет от стейкхолдера,29 мая 2024 11:19,Ассистент (issues),Зафиксировано,HELPDESK-1883
Уведомления: Ассистент,"Какое уведомление подключить, чтобы агент видел отказ в заявке на бронь",Компакт,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,3 февр. 2025 14:12,Заявки на бронь (reserve request),Зафиксировано,HELPDESK-4209
Уведомления: Общие,Пожелания по модулю онлайн записей,Аквилон,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,25 дек. 2025 15:07,Передача помещений (delivery),Рассматривает аккаунт,HELPDESK-6431
Уведомления: Общие,Передавать в уведомлении о согласовании ЗнД ФИО согласовавшего,ЮСИ,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,26 дек. 2025 17:17,Уведомления (events),Рассматривает аккаунт,HELPDESK-6445
Устные брони: Комментарии,Добавить возможность менять комментарий в УБ,Элемент,C,Нет: приоритет от стейкхолдера,10 июн. 2025 14:18,Устные брони (reserve free),Зафиксировано,HELPDESK-5159
Устные брони: Контроль и ограничения,Контроль за злоупотреблением устными бронированиями,Аквилон,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,8 дек. 2025 15:19,Устные брони (reserve free),Требует уточнения,HELPDESK-6313
Устные брони: Общие,Выводить второго менеджера при создании устной брони,ЮСИ,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,11 дек. 2025 10:43,Устные брони (reserve free),Рассматривает разработка,HELPDESK-6330
Устные брони: Общие,Добавить в длительность УБ и ДБ рабочие и календарные дни,Верен,C,Нет: приоритет от стейкхолдера,16 мая 2024 18:24,Устные брони (reserve free),Зафиксировано,HELPDESK-1762
Устные брони: Общие,"Добавить поле ""Стоимость бронирования"" в реестр УБ и ДБ",Ромашки,A,Нет: приоритет от стейкхолдера,18 июн. 2024 17:32,Таблицы (table),Зафиксировано,HELPDESK-2037
Устные брони: Общие,Подтягивается поле имени и подставляет в фамилию,АльфаСтройИнвест,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,18 нояб. 2025 17:22,Интеграции CRM (crm),Включили в эпик ДК,HELPDESK-6180
Устные брони: Общие,Не дает перевести из УБ в ДБ на КА ООО Ипотечный отдел,Аквилон,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,20 мая 2024 12:18,Контрагенты (agent),Рассматривает аккаунт,HELPDESK-1779
Устные брони: Общие,Добавить дополнительные поля в конфигуратор отчета по устным броням,УДС,C,Нет: приоритет от стейкхолдера,20 окт. 2025 08:49,Устные брони (reserve free),Зафиксировано,HELPDESK-5976
Устные брони: Общие,Не переводится устная в платную бронь,Аквилон,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,29 мая 2024 11:43,Устные брони (reserve free),Зафиксировано,HELPDESK-1885
Устные брони: Общие,Создавать контрагента для УБ,ALLIO Dev,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,30 дек. 2025 17:38,Устные брони (reserve free),Рассматривает разработка,HELPDESK-6476
Устные брони: Продление,Добавить возможность массового продления броней,Амград,B,Нет: приоритет от стейкхолдера,29 сент. 2025 14:55,Платные брони (reserve paid),Зафиксировано,HELPDESK-5872
Фиды: 2ГИС,Добавить фид для 2гис,УДС,A,Нет: приоритет от стейкхолдера,10 дек. 2025 13:36,Фиды (feeds),Рассматривает разработка,HELPDESK-6325
Фиды: 2ГИС,Добавить фид для 2ГИС,Аквилон,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,27 нояб. 2025 14:23,Фиды (feeds),Рассматривает разработка,HELPDESK-6237
Фиды: 2ГИС,Добавить фид для 2гис,УДС,A,Нет: приоритет от стейкхолдера,8 дек. 2025 15:08,Фиды (feeds),Рассматривает разработка,HELPDESK-6311
Фиды: Wildberries,Реализовать фид для WB,Русская Европа,A,A,10 сент. 2025 12:48,Фиды (feeds),Зафиксировано,HELPDESK-5766
Фиды: Авито,Добавить в фиды Авито новый тег <AdditionalObjectTypes>,Аквилон,B,Нет: приоритет от стейкхолдера,13 мар. 2024 10:58,Фиды (feeds),Зафиксировано,HELPDESK-1236
Фиды: Авито,Менять id для Авито и ЦИАН,Расцвет,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,19 дек. 2025 18:38,Фиды (feeds),Рассматривает разработка,HELPDESK-6404
Фиды: Авито,Сделать id объекта необязательным для фида коммерции,Атлас,B,Нет: приоритет от стейкхолдера,24 июл. 2025 12:52,Фиды (feeds),Зафиксировано,HELPDESK-5459
Фиды: Авито,Добавить интерфейс в Аллио для просмотра id помещений для Авито,УДС,A,Нет: приоритет от стейкхолдера,24 нояб. 2025 14:02,Фиды (feeds),Рассматривает разработка,HELPDESK-6215
Фиды: Авито,Почему отличается кол-во выгружаемых лотов из фидов,Аквилон,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,25 июн. 2025 12:53,Фиды (feeds),Зафиксировано,HELPDESK-5238
Фиды: Авито,Нужна возможность загружать отдельно фотографии в агрегаторы,Макрострой,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,28 нояб. 2025 17:59,Фиды (feeds),Рассматривает разработка,HELPDESK-6247
Фиды: Авито,Выгружать этажность подъезда в фид для Авито,Острова,A,Нет: приоритет от стейкхолдера,5 нояб. 2025 11:41,Фиды (feeds),В очереди на разработку,HELPDESK-6071
Фиды: Авито,"Передавать в фиды изображения из раздела ""Дополнительные",Оникс,B,Нет: приоритет от стейкхолдера,9 дек. 2025 17:47,Фиды (feeds),Рассматривает разработка,HELPDESK-6322
Фиды: ДомКлик,Передавать в фид Домклика координаты объекта,Атлас,B,Нет: приоритет от стейкхолдера,11 авг. 2025 13:33,Фиды (feeds),На проверке,HELPDESK-5592
Фиды: ДомКлик,Домклик не принимает фид без параметра housing_type,Расцвет,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,12 янв. 2026 17:31,Фиды (feeds),Рассматривает разработка,HELPDESK-6491
Фиды: ДомКлик,Невозможно сформировать ни один фид,ЮСИ,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,17 нояб. 2025 12:09,Фиды (feeds),В разработке,HELPDESK-6165
Фиды: ДомКлик,Передается ли в фиде для Домклик ID ДОМ.РФ,Сити Солюшн,A,Нет: приоритет от стейкхолдера,31 июл. 2025 14:42,Фиды (feeds),На проверке,HELPDESK-5527
Фиды: ДомКлик,Добавить описание и изображения для всего ЖК для передачи в ДомКлик,Острова,A,Нет: приоритет от стейкхолдера,5 сент. 2024 12:35,Фиды (feeds),Зафиксировано,HELPDESK-2876
Фиды: НмаркетПро,Интеграция с агрегатором НмаркетПро,ALLIO Dev,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,30 дек. 2025 11:39,Внешнее API (apiintegration),Требует уточнения,HELPDESK-6459
Фиды: ЦИАН,Изменить логику расчёта количества спален в карточке помещения,Атлас,C,Нет: приоритет от стейкхолдера,12 сент. 2025 10:25,Карточка помещения (space),Зафиксировано,HELPDESK-5772
Фиды: ЦИАН,Добавить несколько категорий для фидов ЦИАН,Аквилон,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,21 мая 2024 12:23,EVA,Зафиксировано,HELPDESK-1798
Фиды: Яндекс,Добавить уведомления о событиях в ALLIO в telegram,Русская Европа,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,11 дек. 2025 12:54,Уведомления (events),Рассматривает разработка,HELPDESK-6335
Фиды: Яндекс,Добавить тег renovation для отделки в Яндекс,Расцвет,A,Нет: приоритет от стейкхолдера,2 дек. 2025 14:42,Фиды (feeds),Рассматривает разработка,HELPDESK-6268
Фиды: Яндекс,Добавить поле renovation в фид ЯН,ИСКО-Ч,B,Нет: приоритет от стейкхолдера,24 июл. 2024 12:46,Фиды (feeds),Зафиксировано,HELPDESK-2481
Фиды: Яндекс (Директ/Недвижимость),Добавить фид для Яндекс Директ,Оникс,B,Нет: приоритет от стейкхолдера,13 дек. 2023 11:05,Фиды (feeds),Зафиксировано,HELPDESK-246
Фиды: Яндекс (Директ/Недвижимость),Добавить фид для Яндекс директа,Русская Европа,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,23 дек. 2025 15:24,Фиды (feeds),Рассматривает разработка,HELPDESK-6412
Фиды: Яндекс (Директ/Недвижимость),Добавить фид Яндекс.Директ,ИСКО-Ч,B,Нет: приоритет от стейкхолдера,24 апр. 2025 18:07,Фиды (feeds),Зафиксировано,HELPDESK-4895
Фиксация: Агенты,Фиксация: проверка в лидах битрикс,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,14 июл. 2025 10:40,Интеграции CRM (crm),Зафиксировано,HELPDESK-5350
