Этаж,Комнатность,Отделка,Вид из окон,Стоимость,Общая площадь (м.кв.),Высота потолка (м.),Срок сдачи
12,1К,Без отделки,Во двор и на улицу,10963400,"53,48","2,7",3 квартал 2027
12,1К,Без отделки,На улицу,7806600,"43,37","2,7",3 квартал 2027
12,1К,Без отделки,На улицу,7806600,"43,37","2,7",3 квартал 2027
12,2К,Без отделки,На улицу,11281200,"66,36","2,7",3 квартал 2027
12,2К,Без отделки,Во двор и на улицу,14613900,"69,59","2,7",3 квартал 2027
3,1К,Без отделки,Во двор и на улицу,7334600,"47,32","2,7",3 квартал 2027
3,1К,Без отделки,На улицу,6152000,"38,45","2,7",3 квартал 2027
3,1К,Без отделки,На улицу,6234100,"40,22","2,7",3 квартал 2027
3,1К,Без отделки,На улицу,6072900,"39,18","2,7",3 квартал 2027
4,1К,Без отделки,На улицу,7057050,"42,77","2,7",3 квартал 2027
4,1К,Без отделки,На улицу,7349100,"44,54","2,7",3 квартал 2027
4,1К,Без отделки,На улицу,7177500,"43,5","2,7",3 квартал 2027
5,1К,Без отделки,На улицу,7270900,"42,77","2,7",3 квартал 2027
5,1К,Без отделки,На улицу,7571800,"44,54","2,7",3 квартал 2027
5,1К,Без отделки,На улицу,7395000,"43,5","2,7",3 квартал 2027
6,1К,Без отделки,На улицу,7270900,"42,77","2,7",3 квартал 2027
6,1К,Без отделки,На улицу,7571800,"44,54","2,7",3 квартал 2027
6,1К,Без отделки,На улицу,7395000,"43,5","2,7",3 квартал 2027
7,1К,Без отделки,На улицу,7574000,"43,28","2,7",3 квартал 2027
7,1К,Без отделки,На улицу,7883750,"45,05","2,7",3 квартал 2027
7,1К,Без отделки,На улицу,7701750,"44,01","2,7",3 квартал 2027
8,1К,Без отделки,На улицу,7574000,"43,28","2,7",3 квартал 2027
8,1К,Без отделки,На улицу,7883750,"45,05","2,7",3 квартал 2027
8,1К,Без отделки,На улицу,7701750,"44,01","2,7",3 квартал 2027
9,1К,Без отделки,На улицу,7790400,"43,28","2,7",3 квартал 2027
9,1К,Без отделки,На улицу,8109000,"45,05","2,7",3 квартал 2027
9,1К,Без отделки,На улицу,7921800,"44,01","2,7",3 квартал 2027
10,1К,Без отделки,На улицу,7790400,"43,28","2,7",3 квартал 2027
10,1К,Без отделки,На улицу,8109000,"45,05","2,7",3 квартал 2027
10,1К,Без отделки,На улицу,7921800,"44,01","2,7",3 квартал 2027
11,1К,Без отделки,На улицу,8006800,"43,28","2,7",3 квартал 2027
11,1К,Без отделки,На улицу,8334250,"45,05","2,7",3 квартал 2027
11,1К,Без отделки,На улицу,8141850,"44,01","2,7",3 квартал 2027
12,1К,Без отделки,На улицу,8006800,"43,28","2,7",3 квартал 2027
12,1К,Без отделки,На улицу,8334250,"45,05","2,7",3 квартал 2027
12,1К,Без отделки,На улицу,8141850,"44,01","2,7",3 квартал 2027
3,1К,Без отделки,Во двор,6137000,"36,1","2,7",3 квартал 2027
3,2К,Без отделки,Во двор,10256400,"55,44","2,7",3 квартал 2027
3,2К,Без отделки,Во двор и на улицу,11786200,"76,04","2,7",3 квартал 2027
3,1К,Без отделки,На улицу,6171200,"44,08","2,7",3 квартал 2027
3,1К,Без отделки,На улицу,6045200,"43,18","2,7",3 квартал 2027
3,1К,Без отделки,На улицу,6016050,"41,49","2,7",3 квартал 2027
3,1К,Без отделки,На улицу,6263600,"44,74","2,7",3 квартал 2027
4,1К,Без отделки,Во двор,6313800,"37,14","2,7",3 квартал 2027
4,1К,Без отделки,Во двор,6137000,"36,1","2,7",3 квартал 2027
