Тема,Заголовок,Застройщик,Приоритет застройщика,Приоритет от стейкхолдеров,Дата создания,Модуль,Состояние пожелания,ID задачи
Устные брони: Общие,Добавить в карточку устной брони факт связи с СРМ,ЛенРусСтрой,B,Нет: приоритет от стейкхолдера,10 июн. 2025 17:06,Устные брони (reserve free),Сообщено клиенту,HELPDESK-5162
Устные брони: Общие,Как анализировать конверсию броней в сделки,Острова,B,Нет: приоритет от стейкхолдера,10 мар. 2025 11:42,Таблицы (table),Зафиксировано,HELPDESK-4535
Устные брони: Общие,Создать карточку контрагента при установке устной брони,Амград,B,Нет: приоритет от стейкхолдера,14 мар. 2025 09:31,Устные брони (reserve free),Зафиксировано,HELPDESK-4570
Устные брони: Общие,Добавить в конфигуратор даты начала и окончания броней,Амград,B,Нет: приоритет от стейкхолдера,21 апр. 2025 10:26,Конфигуратор отчётов (configurator),Зафиксировано,HELPDESK-4861
Устные брони: Общие,Добавить в отчеты Аллио статусы из шахматки,Плюс,A,Нет: приоритет от стейкхолдера,24 июн. 2025 17:38,Таблицы (table),Зафиксировано,HELPDESK-5230
Устные брони: Продление,Добавить возможность массового продления броней,Амград,B,Нет: приоритет от стейкхолдера,29 сент. 2025 14:55,Платные брони (reserve paid),Зафиксировано,HELPDESK-5872
Устные брони: Продление,Дополнительное соглашение к договору бронирования,Амград,A,Нет: приоритет от стейкхолдера,31 янв. 2025 12:25,Платные брони (reserve paid),Зафиксировано,HELPDESK-4190
Фиды: 2ГИС,Добавить фид для 2гис,УДС,A,Нет: приоритет от стейкхолдера,10 дек. 2025 13:36,Фиды (feeds),Рассматривает разработка,HELPDESK-6325
Фиды: 2ГИС,Добавить фид для 2гис,УДС,A,Нет: приоритет от стейкхолдера,8 дек. 2025 15:08,Фиды (feeds),Рассматривает разработка,HELPDESK-6311
Фиды: Wildberries,Реализовать фид для WB,Русская Европа,A,A,10 сент. 2025 12:48,Фиды (feeds),Зафиксировано,HELPDESK-5766
Фиды: Авито,Добавить выгрузку планов из раздела Дополнительные в фиды Авито и Домклик,Оникс,B,Нет: приоритет от стейкхолдера,19 июн. 2025 10:07,Фиды (feeds),Рассматривает аккаунт,HELPDESK-5198
Фиды: Авито,Выгружать в фид для Авито дополнительные изображения,Острова,A,Нет: приоритет от стейкхолдера,20 мая 2025 16:52,Фиды (feeds),Зафиксировано,HELPDESK-5025
Фиды: Авито,Добавить фид 2ГИС,Атлас,B,Нет: приоритет от стейкхолдера,21 мая 2025 14:01,Фиды (feeds),Зафиксировано,HELPDESK-5032
Фиды: Авито,Сделать id объекта необязательным для фида коммерции,Атлас,B,Нет: приоритет от стейкхолдера,24 июл. 2025 12:52,Фиды (feeds),Зафиксировано,HELPDESK-5459
Фиды: Авито,Добавить интерфейс в Аллио для просмотра id помещений для Авито,УДС,A,Нет: приоритет от стейкхолдера,24 нояб. 2025 14:02,Фиды (feeds),Рассматривает разработка,HELPDESK-6215
Фиды: Авито,Передавать в фиде Авито новый вид из окон,УДС,B,Нет: приоритет от стейкхолдера,26 февр. 2025 19:12,Фиды (feeds),Зафиксировано,HELPDESK-4444
Фиды: Авито,Выгружать этажность подъезда в фид для Авито,Острова,A,Нет: приоритет от стейкхолдера,5 нояб. 2025 11:41,Фиды (feeds),В очереди на разработку,HELPDESK-6071
Фиды: Авито,"Передавать в фиды изображения из раздела ""Дополнительные",Оникс,B,Нет: приоритет от стейкхолдера,9 дек. 2025 17:47,Фиды (feeds),Рассматривает разработка,HELPDESK-6322
Фиды: ДомКлик,Добавить в справочник ЖК блок с преимуществами по ЖК,Амград,B,Нет: приоритет от стейкхолдера,10 апр. 2025 10:57,Фиды (feeds),Зафиксировано,HELPDESK-4786
Фиды: ДомКлик,Передавать в фид Домклика координаты объекта,Атлас,B,Нет: приоритет от стейкхолдера,11 авг. 2025 13:33,Фиды (feeds),На проверке,HELPDESK-5592
Фиды: ДомКлик,Не передавать в фиды помещения с устными бронями,Амград,A,Нет: приоритет от стейкхолдера,2 апр. 2025 15:25,Фиды (feeds),Сообщено клиенту,HELPDESK-4719
Фиды: ДомКлик,Добавить возможность не отправлять акцию в фид Домклик,Амград,B,Нет: приоритет от стейкхолдера,27 мар. 2025 17:03,Фиды (feeds),Зафиксировано,HELPDESK-4684
Фиды: ДомКлик,Передается ли в фиде для Домклик ID ДОМ.РФ,Сити Солюшн,A,Нет: приоритет от стейкхолдера,31 июл. 2025 14:42,Фиды (feeds),На проверке,HELPDESK-5527
Фиды: ДомКлик,"Выгружать информацию в Домклик не из карточки объекта, а из карточки ЖК",Амград,B,Нет: приоритет от стейкхолдера,4 апр. 2025 10:32,Фиды (feeds),Зафиксировано,HELPDESK-4734
Фиды: ЦИАН,Передавать в фиды для агрегаторов стоимость квартиры с отделкой,Амград,A,Нет: приоритет от стейкхолдера,20 авг. 2025 08:57,Фиды (feeds),Зафиксировано,HELPDESK-5656
Фиды: ЦИАН,Добавить для фида ЦИАН передачу изображений из Дополнительные в массовом редакторе,Сити Солюшн,A,Нет: приоритет от стейкхолдера,26 февр. 2025 15:17,Фиды (feeds),Зафиксировано,HELPDESK-4442
Фиды: Яндекс,Добавить тег renovation для отделки в Яндекс,Расцвет,A,Нет: приоритет от стейкхолдера,2 дек. 2025 14:42,Фиды (feeds),Рассматривает разработка,HELPDESK-6268
Фиды: Яндекс (Директ/Недвижимость),Добавить фид Яндекс.Директ,ИСКО-Ч,B,Нет: приоритет от стейкхолдера,24 апр. 2025 18:07,Фиды (feeds),Зафиксировано,HELPDESK-4895
Фиксация: Агенты,Дублирование сделки в ЦРМ при бронировании,ALLIO Demo,A,Нет: приоритет от стейкхолдера,12 авг. 2025 11:00,Интеграции CRM (crm),Зафиксировано,HELPDESK-5597
Фиксация: Агенты,Фиксация: проверка в лидах битрикс,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,14 июл. 2025 10:40,Интеграции CRM (crm),Зафиксировано,HELPDESK-5350
Фиксация: Агенты,Фиксация: продление на стороне агента,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,14 июл. 2025 10:56,Агентства (cashback),Зафиксировано,HELPDESK-5353
Фиксация: Агенты,Фиксация: Оповещение застройщика о неуспешной повторной фиксации,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,14 июл. 2025 10:59,Агентства (cashback),Зафиксировано,HELPDESK-5354
Фиксация: Агенты,Фиксация: видимость в црм истории и статуса,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,14 июл. 2025 11:07,Агентства (cashback),Зафиксировано,HELPDESK-5355
Фиксация: Агенты,Фиксация: уведомление агента о смене статуса его фиксации,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,14 июл. 2025 11:18,Агентства (cashback),Зафиксировано,HELPDESK-5357
Фиксация: Агенты,Добавить возможность отмены и продления фиксации клиента,Плюс,A,Нет: приоритет от стейкхолдера,14 мая 2025 19:18,Агентства (cashback),Зафиксировано,HELPDESK-4986
Фиксация: Агенты,Добавить уведомление о безуспешной фиксации клиента,Плюс,B,Нет: приоритет от стейкхолдера,14 мая 2025 19:34,Агентства (cashback),Зафиксировано,HELPDESK-4987
Фиксация: Агенты,Создавать сделку в СРМ в определенной воронке объекта и шахматки,Плюс,A,Нет: приоритет от стейкхолдера,20 авг. 2025 17:11,Интеграции CRM (crm),На проверке,HELPDESK-5660
Фиксация: Агенты,"Сделать при фиксации клиента поле ""Объект"" необязательным",ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,26 мар. 2025 10:37,Агентства (cashback),В разработке,HELPDESK-4668
Фиксация: Агенты,Добавить оповещение на почту о фиксации клиента,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,7 апр. 2025 15:44,Агентства (cashback),Зафиксировано,HELPDESK-4753
Фиксация: Общие,Фиксация: управление застройщиком фиксацией,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,14 июл. 2025 11:10,—,Зафиксировано,HELPDESK-5356
Шаблоны: ДДУ,Добавить для полей ИПОТЕКА_СРОК_МЕС и ИПОТЕКА_ПРОЦЕНТ текстовое значение,Бауинвест,A,Нет: приоритет от стейкхолдера,31 окт. 2025 10:06,Управление шаблонами (templates),В очереди на разработку,HELPDESK-6054
Шаблоны: ДДУ,Добавить в договор выгрузку доп. планировки,Верен,B,Нет: приоритет от стейкхолдера,5 мая 2025 13:18,Управление шаблонами (templates),Зафиксировано,HELPDESK-4933
Шаблоны: Договор бронирования,Добавить поле для выгрузки 100% цены помещения в договор бронирования,Аквилон,A,Нет: приоритет от стейкхолдера,29 янв. 2025 11:15,Управление шаблонами (templates),Зафиксировано,HELPDESK-4150
Шаблоны: Общие,Добавить форматирование для полей с массивом данных,Бауинвест,B,Нет: приоритет от стейкхолдера,11 нояб. 2025 12:02,Управление шаблонами (templates),Зафиксировано,HELPDESK-6119
Шаблоны: Общие,Добавить настройки в Управление шаблонами договоров,Макрострой,B,Нет: приоритет от стейкхолдера,12 мар. 2025 10:56,Управление шаблонами (templates),Зафиксировано,HELPDESK-4556
Шаблоны: Общие,Информация по доплате ПИБ не выгружается в договор,Амград,A,Нет: приоритет от стейкхолдера,16 июл. 2025 15:20,Управление шаблонами (templates),В очереди на разработку,HELPDESK-5390
Шаблоны: Общие,Реализовать договоры Чистовой отделки,УДС,A,Нет: приоритет от стейкхолдера,2 дек. 2025 08:29,Конструктор документов (docgen),Рассматривает аккаунт,HELPDESK-6260
